water_year,335:CO:SNTL,342:WY:SNTL,353:WY:SNTL,368:UT:SNTL,371:UT:SNTL,378:CO:SNTL,386:CO:SNTL,415:CO:SNTL,432:UT:SNTL,435:UT:SNTL,444:UT:SNTL,449:WY:SNTL,457:CO:SNTL,467:CO:SNTL,468:WY:SNTL,481:UT:SNTL,485:CO:SNTL,505:CO:SNTL,531:CO:SNTL,538:CO:SNTL,542:CO:SNTL,543:UT:SNTL,544:WY:SNTL,554:WY:SNTL,556:CO:SNTL,559:UT:SNTL,565:CO:SNTL,566:UT:SNTL,586:CO:SNTL,589:CO:SNTL,597:WY:SNTL,607:CO:SNTL,618:CO:SNTL,629:CO:SNTL,643:UT:SNTL,680:CO:SNTL,682:CO:SNTL,688:CO:SNTL,701:CO:SNTL,713:CO:SNTL,714:UT:SNTL,720:UT:SNTL,762:CO:SNTL,765:WY:SNTL,779:WY:SNTL,790:UT:SNTL,795:UT:SNTL,802:CO:SNTL,825:CO:SNTL,833:UT:SNTL,840:CO:SNTL,842:CO:SNTL,864:UT:SNTL,869:CO:SNTL
2001,566.42,320.03999999999996,459.74,604.52,360.67999999999995,373.37999999999994,411.47999999999996,365.76,154.93999999999997,266.7,284.47999999999996,472.44,487.67999999999995,447.04,340.36,543.56,495.29999999999995,419.09999999999997,424.17999999999995,287.02,383.53999999999996,345.44,510.54,314.96,276.86,299.72,599.44,424.17999999999995,368.29999999999995,378.46,320.03999999999996,276.86,375.92,398.78,464.82,152.39999999999998,596.9,238.76,370.84,624.84,266.7,210.82,447.04,256.53999999999996,513.0799999999999,396.23999999999995,302.26,259.08,1010.9199999999998,335.28,975.3599999999999,502.92,289.56,378.46
2002,281.94,330.2,612.14,309.87999999999994,353.06,307.34,144.78,322.58,104.13999999999999,302.26,246.37999999999997,363.21999999999997,477.52,386.08,297.17999999999995,251.46,309.87999999999994,248.92000000000002,238.76,236.22,327.65999999999997,149.86,568.9599999999999,322.58,218.43999999999997,182.88,431.79999999999995,198.11999999999998,187.96,281.94,368.29999999999995,231.14,304.79999999999995,228.6,205.73999999999998,157.48,406.4,220.97999999999996,215.89999999999998,378.46,309.87999999999994,142.23999999999998,205.73999999999998,248.92000000000002,635.0,340.36,375.92,200.66,777.24,182.88,284.47999999999996,370.84,200.66,213.35999999999999
2003,660.4,312.42,599.44,462.28,393.7,386.08,243.83999999999997,523.24,124.46000000000001,292.09999999999997,299.72,581.66,568.9599999999999,485.14,345.44,347.97999999999996,574.04,594.3599999999999,424.17999999999995,335.28,444.5,269.23999999999995,619.7599999999999,353.06,289.56,304.79999999999995,767.0799999999999,274.32,337.82,386.08,439.42,281.94,426.71999999999997,307.34,271.78,248.92000000000002,645.16,307.34,436.87999999999994,495.29999999999995,375.92,182.88,302.26,350.52,673.0999999999999,469.9,289.56,391.15999999999997,1381.76,243.83999999999997,670.56,711.1999999999999,256.53999999999996,581.66
2004,378.46,335.28,523.24,513.0799999999999,403.86,335.28,396.23999999999995,261.62,297.17999999999995,429.25999999999993,406.4,439.42,482.59999999999997,431.79999999999995,281.94,416.55999999999995,414.02,322.58,332.73999999999995,330.2,360.67999999999995,294.64,551.18,335.28,213.35999999999999,314.96,444.5,294.64,383.53999999999996,388.62,375.92,218.43999999999997,375.92,403.86,327.65999999999997,231.14,703.5799999999999,170.18,360.67999999999995,645.16,360.67999999999995,223.52,350.52,302.26,553.72,403.86,434.34000000000003,266.7,1031.24,266.7,927.0999999999999,426.71999999999997,289.56,330.2
2005,502.92,393.7,513.0799999999999,1010.9199999999998,535.94,396.23999999999995,515.62,347.97999999999996,327.65999999999997,581.66,505.4599999999999,513.0799999999999,543.56,571.5,347.97999999999996,843.28,459.74,325.12,370.84,426.71999999999997,414.02,571.5,843.28,452.12,279.4,515.62,528.3199999999999,607.06,477.52,505.4599999999999,383.53999999999996,276.86,662.94,530.8599999999999,652.78,274.32,1242.06,218.43999999999997,469.9,784.8599999999999,462.28,441.9599999999999,474.97999999999996,355.59999999999997,657.8599999999999,513.0799999999999,563.88,276.86,1115.06,535.94,1353.82,508.0,449.58,391.15999999999997
2006,609.5999999999999,408.94,789.9399999999999,660.4,673.0999999999999,492.75999999999993,248.92000000000002,487.67999999999995,365.76,637.54,513.0799999999999,515.62,627.38,546.1,391.15999999999997,640.0799999999999,601.9799999999999,548.64,492.75999999999993,393.7,431.79999999999995,345.44,889.0,541.02,401.32,266.7,642.62,393.7,365.76,355.59999999999997,525.78,360.67999999999995,520.6999999999999,388.62,386.08,287.02,680.72,281.94,411.47999999999996,619.7599999999999,637.54,312.42,386.08,485.14,889.0,482.59999999999997,619.7599999999999,360.67999999999995,1435.1,281.94,510.54,741.68,353.06,340.36
2007,563.88,281.94,614.68,419.09999999999997,248.92000000000002,330.2,248.92000000000002,439.42,172.72,297.17999999999995,177.79999999999998,467.35999999999996,474.97999999999996,426.71999999999997,297.17999999999995,340.36,492.75999999999993,523.24,469.9,281.94,414.02,210.82,500.37999999999994,337.82,276.86,170.18,614.68,220.97999999999996,292.09999999999997,373.37999999999994,261.62,281.94,393.7,342.9,218.43999999999997,198.11999999999998,464.82,231.14,396.23999999999995,601.9799999999999,215.89999999999998,160.01999999999998,421.64,264.15999999999997,568.9599999999999,373.37999999999994,302.26,266.7,835.66,193.04,538.4799999999999,485.14,215.89999999999998,426.71999999999997
2008,619.7599999999999,363.21999999999997,721.3599999999999,525.78,528.3199999999999,497.84000000000003,596.9,518.16,396.23999999999995,594.3599999999999,464.82,675.64,728.9799999999999,756.92,297.17999999999995,546.1,662.94,584.1999999999999,528.3199999999999,477.52,680.72,426.71999999999997,703.5799999999999,414.02,518.16,355.59999999999997,701.04,345.44,601.9799999999999,571.5,441.9599999999999,431.79999999999995,744.22,561.34,358.14,449.58,906.78,297.17999999999995,604.52,873.7599999999999,535.94,294.64,497.84000000000003,370.84,670.56,508.0,553.72,421.64,1308.1,337.82,1214.12,746.7599999999999,454.6599999999999,556.2599999999999
2009,627.38,363.21999999999997,825.5,482.59999999999997,485.14,441.9599999999999,383.53999999999996,469.9,218.43999999999997,497.84000000000003,320.03999999999996,713.74,632.4599999999999,609.5999999999999,396.23999999999995,505.4599999999999,584.1999999999999,548.64,439.42,414.02,556.2599999999999,289.56,718.8199999999999,467.35999999999996,350.52,287.02,756.92,340.36,482.59999999999997,464.82,454.6599999999999,391.15999999999997,614.68,431.79999999999995,309.87999999999994,335.28,718.8199999999999,271.78,487.67999999999995,698.5,462.28,182.88,406.4,406.4,850.9,441.9599999999999,419.09999999999997,391.15999999999997,1323.34,276.86,718.8199999999999,713.74,332.73999999999995,373.37999999999994
2010,622.3,264.15999999999997,530.8599999999999,353.06,403.86,426.71999999999997,441.9599999999999,320.03999999999996,226.06,325.12,330.2,632.4599999999999,492.75999999999993,528.3199999999999,236.22,495.29999999999995,464.82,325.12,373.37999999999994,408.94,419.09999999999997,294.64,551.18,312.42,276.86,259.08,601.9799999999999,289.56,424.17999999999995,508.0,231.14,259.08,515.62,401.32,264.15999999999997,274.32,701.04,213.35999999999999,424.17999999999995,614.68,347.97999999999996,226.06,373.37999999999994,259.08,591.8199999999999,535.94,325.12,236.22,1145.54,292.09999999999997,746.7599999999999,528.3199999999999,246.37999999999997,365.76
2011,883.9199999999998,497.84000000000003,1163.32,1018.54,635.0,599.44,388.62,655.3199999999999,398.78,759.4599999999999,523.24,828.04,955.04,782.3199999999999,454.6599999999999,949.9599999999999,698.5,807.72,556.2599999999999,421.64,635.0,398.78,1026.1599999999999,673.0999999999999,426.71999999999997,350.52,1145.54,485.14,345.44,363.21999999999997,645.16,441.9599999999999,579.12,411.47999999999996,444.5,368.29999999999995,1049.02,515.62,500.37999999999994,855.98,548.64,325.12,429.25999999999993,619.7599999999999,1140.4599999999998,741.68,655.3199999999999,421.64,2024.3799999999999,337.82,817.88,815.34,462.28,688.34
2012,330.2,345.44,624.84,383.53999999999996,261.62,274.32,317.5,261.62,157.48,220.97999999999996,213.35999999999999,360.67999999999995,373.37999999999994,375.92,360.67999999999995,340.36,314.96,302.26,259.08,276.86,271.78,200.66,508.0,327.65999999999997,223.52,180.33999999999997,398.78,261.62,287.02,353.06,347.97999999999996,213.35999999999999,322.58,322.58,266.7,205.73999999999998,510.54,185.42,269.23999999999995,452.12,238.76,116.83999999999999,307.34,317.5,594.3599999999999,386.08,218.43999999999997,203.2,703.5799999999999,172.72,551.18,314.96,182.88,220.97999999999996
2013,581.66,292.09999999999997,576.5799999999999,454.6599999999999,355.59999999999997,355.59999999999997,292.09999999999997,388.62,180.33999999999997,274.32,269.23999999999995,408.94,495.29999999999995,416.55999999999995,274.32,424.17999999999995,485.14,467.35999999999996,426.71999999999997,256.53999999999996,388.62,215.89999999999998,619.7599999999999,340.36,266.7,198.11999999999998,612.14,350.52,284.47999999999996,353.06,289.56,284.47999999999996,350.52,287.02,340.36,233.67999999999998,525.78,264.15999999999997,276.86,497.84000000000003,246.37999999999997,157.48,304.79999999999995,241.29999999999998,662.94,419.09999999999997,309.87999999999994,259.08,990.5999999999999,276.86,647.6999999999999,452.12,218.43999999999997,490.21999999999997
2014,678.18,414.02,998.2199999999999,457.2,436.87999999999994,431.79999999999995,264.15999999999997,571.5,220.97999999999996,373.37999999999994,299.72,551.18,716.28,594.3599999999999,467.35999999999996,373.37999999999994,650.24,655.3199999999999,548.64,347.97999999999996,563.88,185.42,858.5199999999999,495.29999999999995,388.62,226.06,850.9,256.53999999999996,403.86,355.59999999999997,647.6999999999999,365.76,469.9,457.2,264.15999999999997,342.9,673.0999999999999,337.82,523.24,622.3,360.67999999999995,162.56,370.84,523.24,975.3599999999999,561.34,386.08,381.0,1424.94,193.04,607.06,586.74,269.23999999999995,431.79999999999995
2015,492.75999999999993,259.08,622.3,297.17999999999995,340.36,317.5,149.86,393.7,147.32,269.23999999999995,287.02,200.66,416.55999999999995,347.97999999999996,254.0,248.92000000000002,571.5,421.64,566.42,322.58,388.62,172.72,464.82,304.79999999999995,213.35999999999999,99.05999999999999,556.2599999999999,193.04,340.36,312.42,355.59999999999997,248.92000000000002,289.56,309.87999999999994,142.23999999999998,200.66,439.42,231.14,345.44,513.0799999999999,264.15999999999997,124.46000000000001,320.03999999999996,322.58,640.0799999999999,312.42,279.4,246.37999999999997,833.1199999999999,116.83999999999999,467.35999999999996,370.84,200.66,297.17999999999995
2016,599.44,299.72,688.34,449.58,365.76,393.7,307.34,444.5,172.72,271.78,279.4,541.02,645.16,472.44,236.22,495.29999999999995,505.4599999999999,502.92,490.21999999999997,381.0,434.34000000000003,243.83999999999997,591.8199999999999,360.67999999999995,335.28,297.17999999999995,622.3,243.83999999999997,383.53999999999996,383.53999999999996,368.29999999999995,302.26,347.97999999999996,375.92,218.43999999999997,218.43999999999997,723.9,279.4,426.71999999999997,591.8199999999999,297.17999999999995,170.18,373.37999999999994,355.59999999999997,660.4,571.5,312.42,292.09999999999997,1242.06,266.7,678.18,541.02,264.15999999999997,467.35999999999996
2017,472.44,586.74,1221.74,734.06,566.42,317.5,492.75999999999993,439.42,441.9599999999999,749.3,490.21999999999997,480.05999999999995,568.9599999999999,513.0799999999999,530.8599999999999,683.2599999999999,535.94,561.34,436.87999999999994,444.5,449.58,454.6599999999999,1132.84,662.94,353.06,322.58,650.24,523.24,553.72,551.18,688.34,251.46,459.74,462.28,558.8,444.5,777.24,337.82,561.34,695.9599999999999,553.72,363.21999999999997,406.4,513.0799999999999,1135.38,574.04,607.06,347.97999999999996,1130.3,289.56,1010.9199999999998,515.62,502.92,490.21999999999997
2018,469.9,355.59999999999997,957.58,368.29999999999995,246.37999999999997,287.02,114.3,370.84,101.6,208.27999999999997,157.48,386.08,508.0,416.55999999999995,342.9,386.08,518.16,474.97999999999996,434.34000000000003,218.43999999999997,345.44,172.72,632.4599999999999,365.76,241.29999999999998,198.11999999999998,568.9599999999999,220.97999999999996,213.35999999999999,246.37999999999997,490.21999999999997,238.76,241.29999999999998,213.35999999999999,167.64,208.27999999999997,347.97999999999996,269.23999999999995,297.17999999999995,416.55999999999995,243.83999999999997,50.8,215.89999999999998,332.73999999999995,744.22,408.94,213.35999999999999,236.22,1153.1599999999999,198.11999999999998,396.23999999999995,373.37999999999994,187.96,383.53999999999996
2019,576.5799999999999,378.46,668.02,779.78,581.66,457.2,629.92,546.1,452.12,635.0,391.15999999999997,576.5799999999999,652.78,520.6999999999999,363.21999999999997,713.74,713.74,594.3599999999999,558.8,490.21999999999997,538.4799999999999,396.23999999999995,637.54,408.94,441.9599999999999,335.28,668.02,452.12,594.3599999999999,589.28,424.17999999999995,347.97999999999996,571.5,622.3,434.34000000000003,383.53999999999996,998.2199999999999,261.62,556.2599999999999,924.56,571.5,327.65999999999997,543.56,297.17999999999995,635.0,457.2,619.7599999999999,347.97999999999996,1473.1999999999998,342.9,1059.18,528.3199999999999,441.9599999999999,459.74
2020,642.62,284.47999999999996,754.38,538.4799999999999,472.44,358.14,297.17999999999995,497.84000000000003,266.7,345.44,264.15999999999997,551.18,627.38,538.4799999999999,287.02,525.78,513.0799999999999,523.24,500.37999999999994,320.03999999999996,482.59999999999997,335.28,632.4599999999999,414.02,345.44,345.44,746.7599999999999,350.52,424.17999999999995,337.82,401.32,330.2,408.94,386.08,302.26,266.7,535.94,330.2,480.05999999999995,622.3,393.7,200.66,398.78,347.97999999999996,736.5999999999999,485.14,414.02,314.96,1249.68,309.87999999999994,675.64,500.37999999999994,337.82,414.02
