year,month,soilm_basin_avg,source_file
1995,9,408.39874267578125,NLDAS_NOAH0125_M.A199509.020.nc
1995,10,509.5890808105469,NLDAS_NOAH0125_M.A199510.020.nc
1995,11,608.4121704101562,NLDAS_NOAH0125_M.A199511.020.nc
1995,12,595.1433715820312,NLDAS_NOAH0125_M.A199512.020.nc
1996,1,632.0511474609375,NLDAS_NOAH0125_M.A199601.020.nc
1996,2,645.0186767578125,NLDAS_NOAH0125_M.A199602.020.nc
1996,3,640.9904174804688,NLDAS_NOAH0125_M.A199603.020.nc
1996,4,627.6910400390625,NLDAS_NOAH0125_M.A199604.020.nc
1996,5,593.362548828125,NLDAS_NOAH0125_M.A199605.020.nc
1996,6,585.761962890625,NLDAS_NOAH0125_M.A199606.020.nc
1996,7,607.0657958984375,NLDAS_NOAH0125_M.A199607.020.nc
1996,8,581.4623413085938,NLDAS_NOAH0125_M.A199608.020.nc
1996,9,550.6550903320312,NLDAS_NOAH0125_M.A199609.020.nc
1996,10,602.2380981445312,NLDAS_NOAH0125_M.A199610.020.nc
1996,11,589.6510620117188,NLDAS_NOAH0125_M.A199611.020.nc
1996,12,646.7913818359375,NLDAS_NOAH0125_M.A199612.020.nc
1997,1,603.0519409179688,NLDAS_NOAH0125_M.A199701.020.nc
1997,2,630.2520751953125,NLDAS_NOAH0125_M.A199702.020.nc
1997,3,602.8248901367188,NLDAS_NOAH0125_M.A199703.020.nc
1997,4,600.0093994140625,NLDAS_NOAH0125_M.A199704.020.nc
1997,5,590.130615234375,NLDAS_NOAH0125_M.A199705.020.nc
1997,6,574.1461791992188,NLDAS_NOAH0125_M.A199706.020.nc
1997,7,514.5634765625,NLDAS_NOAH0125_M.A199707.020.nc
1997,8,515.62548828125,NLDAS_NOAH0125_M.A199708.020.nc
1997,9,489.008544921875,NLDAS_NOAH0125_M.A199709.020.nc
1997,10,459.9541320800781,NLDAS_NOAH0125_M.A199710.020.nc
1997,11,518.306396484375,NLDAS_NOAH0125_M.A199711.020.nc
1997,12,551.7290649414062,NLDAS_NOAH0125_M.A199712.020.nc
1998,1,615.7655639648438,NLDAS_NOAH0125_M.A199801.020.nc
1998,2,614.9573974609375,NLDAS_NOAH0125_M.A199802.020.nc
1998,3,624.319091796875,NLDAS_NOAH0125_M.A199803.020.nc
1998,4,613.2470703125,NLDAS_NOAH0125_M.A199804.020.nc
1998,5,619.157958984375,NLDAS_NOAH0125_M.A199805.020.nc
1998,6,573.4136962890625,NLDAS_NOAH0125_M.A199806.020.nc
1998,7,513.4998168945312,NLDAS_NOAH0125_M.A199807.020.nc
1998,8,435.79266357421875,NLDAS_NOAH0125_M.A199808.020.nc
1998,9,407.0921936035156,NLDAS_NOAH0125_M.A199809.020.nc
1998,10,409.2242431640625,NLDAS_NOAH0125_M.A199810.020.nc
1998,11,412.9669189453125,NLDAS_NOAH0125_M.A199811.020.nc
1998,12,428.93829345703125,NLDAS_NOAH0125_M.A199812.020.nc
1999,1,536.0384521484375,NLDAS_NOAH0125_M.A199901.020.nc
1999,2,603.73779296875,NLDAS_NOAH0125_M.A199902.020.nc
1999,3,614.0399169921875,NLDAS_NOAH0125_M.A199903.020.nc
1999,4,592.04052734375,NLDAS_NOAH0125_M.A199904.020.nc
1999,5,562.491455078125,NLDAS_NOAH0125_M.A199905.020.nc
1999,6,525.1658325195312,NLDAS_NOAH0125_M.A199906.020.nc
1999,7,448.5562744140625,NLDAS_NOAH0125_M.A199907.020.nc
1999,8,410.4343566894531,NLDAS_NOAH0125_M.A199908.020.nc
1999,9,498.32843017578125,NLDAS_NOAH0125_M.A199909.020.nc
1999,10,572.4230346679688,NLDAS_NOAH0125_M.A199910.020.nc
1999,11,564.4102783203125,NLDAS_NOAH0125_M.A199911.020.nc
1999,12,595.969482421875,NLDAS_NOAH0125_M.A199912.020.nc
2000,1,587.041015625,NLDAS_NOAH0125_M.A200001.020.nc
2000,2,598.2955932617188,NLDAS_NOAH0125_M.A200002.020.nc
2000,3,604.1688232421875,NLDAS_NOAH0125_M.A200003.020.nc
2000,4,591.5838012695312,NLDAS_NOAH0125_M.A200004.020.nc
2000,5,575.9769897460938,NLDAS_NOAH0125_M.A200005.020.nc
2000,6,561.8406982421875,NLDAS_NOAH0125_M.A200006.020.nc
2000,7,518.899169921875,NLDAS_NOAH0125_M.A200007.020.nc
2000,8,574.4158935546875,NLDAS_NOAH0125_M.A200008.020.nc
2000,9,556.8605346679688,NLDAS_NOAH0125_M.A200009.020.nc
2000,10,555.6386108398438,NLDAS_NOAH0125_M.A200010.020.nc
