,GW_storage[cm],SM_storage[cm],SFC_storage[cm],SWE_storage[cm],total_storage[cm],total_storage[cm]_noGW,anomaly[cm],SM_anomaly[cm],GW_anomaly[cm],SWE_anomaly[cm],SFC_anomaly[cm],anomaly[cm]_noGW
1982-11-30,2169.0385523814557,59.00376208030742,0.6635177148998466,0.9561765517028653,2229.662008728366,60.623456346910125,-0.7636271359130824,3.5231572741196495,-3.2965624786576346,-0.8893306753545502,-0.10089125602091974,2.532935342744181
1982-12-31,2169.0848940047076,59.65699010541409,0.7153567880098235,2.9399260043225546,2232.397166902454,63.31227289774647,1.9715310381751983,4.176385299226316,-3.2502208554056993,1.094418777265139,-0.04905218291094286,5.221751893580515
1983-01-31,2169.1252818778876,59.747826884111916,0.6817030747141307,3.5864535907123716,2233.1412654274263,64.01598354953843,2.715629563147326,4.26722207792415,-3.2098329822255236,1.7409463636549563,-0.08270589620663565,5.925462545372472
1983-02-28,2169.151222987584,60.12249163602697,0.7360806336487953,4.713109688984873,2234.7229049462444,65.57168195866063,4.297269081965543,4.641886829839204,-3.1838918725295327,2.867602461927457,-0.02832833727197105,7.481160954494692
1983-03-31,2169.181053150193,61.743307265259595,1.2234552718536584,5.211889925940832,2237.359705613247,68.17865246305408,6.934069748968405,6.262702459071819,-3.154061709920099,3.3663826988834162,0.459046300932892,10.088131458888128
1983-04-30,2169.24311805022,62.746273204654585,1.5419972652898315,5.742397745542041,2239.273786265706,70.03066821548647,8.848150401427315,7.265668398466821,-3.0919968098935846,3.8968905184846254,0.7775882943690652,11.940147211320514
1983-05-31,2169.328969832534,63.6734831984164,2.483376951883577,4.757317053028874,2240.243147035863,70.91417720332885,9.817511171584052,8.192878392228632,-3.0061450275792323,2.911809825971459,1.718967980962811,12.823656199162905
1983-06-30,2169.456751467859,63.4403177972605,2.9773954413903065,1.6768649066851469,2237.551329613195,68.09457814533594,7.125693748916188,7.959712991072731,-2.8783633922541982,-0.1686423203722686,2.21298647046954,10.004057141170005
1983-07-31,2169.552424765895,61.219461724351305,1.7984017075778216,0.0964171367409921,2232.666705334565,63.11428056867012,2.2410694702863547,5.738856918163531,-2.7826900942181982,-1.7490900903164233,1.0339927366570552,5.023759564504164
1983-08-31,2169.5865297375344,59.82084093508553,0.7858264663680977,0.0016912841334495228,2230.1948884231215,60.60835868558708,-0.23074744115716833,4.340236128897758,-2.7485851225786813,-1.8438159429239658,0.02141749544733143,2.517837681421126
1983-09-30,2169.60851686896,58.239100143688916,0.39339533063793686,0.0003433095322349219,2228.241355652819,58.632838783859086,-2.1842802114595776,2.7584953375011443,-2.726597991153097,-1.8451639175251806,-0.3710136402828295,0.5423177796931362
1983-10-31,2169.6269593065385,58.92934460384524,0.330149868477127,0.013075979211297271,2228.8995297580723,59.27257045153367,-1.5261061062066033,3.4487397976574727,-2.70815555357468,-1.8324312478461184,-0.43425910244363924,1.1820494473677172
1983-11-30,2169.6486680391245,59.073810684497545,0.4026138083085726,0.989326526867432,2230.114419058798,60.465751019673554,-0.3112168054807474,3.5932058783097736,-2.686446820988731,-0.8561807001899835,-0.3617951626121938,2.375230015507598
1983-12-31,2169.667018326872,59.79712546822621,0.5745194950735646,5.211527799144703,2235.250191089316,65.58317276244448,4.824555225037585,4.316520662038443,-2.6680965332413265,3.366020572087287,-0.18988947584720173,7.492651758278531
1984-01-31,2169.6813418635916,59.911982626176716,0.6500027082219055,8.401903625531078,2238.645230823521,68.9638889599297,8.21959495924266,4.4313778199889455,-2.653772996521486,6.5563963984736615,-0.11440626269886078,10.873367955763749
1984-02-29,2169.6828227591473,59.79341193123707,0.6522965354797253,8.999632392751602,2239.128163618616,69.44534085946839,8.702527754336987,4.3128071250492965,-2.6522921009658513,7.154125165694185,-0.11211243544104096,11.354819855302443
1984-03-31,2169.671669978155,60.44336038869298,0.8570151279338082,8.936645433787321,2239.9086909285693,70.2370209504141,9.483055064290212,4.962755582505206,-2.663444881958331,7.091138206729906,0.09260615701304183,12.146499946248158
1984-04-30,2169.6699377307723,62.44541407359846,1.8452230289359632,7.627120859075531,2241.587695692382,71.91775796160995,11.162059828103496,6.964809267410687,-2.665177129340883,5.781613632018116,1.0808140580151968,13.827236957444
1984-05-31,2169.7220074947877,63.20923239104645,3.0781425114259755,4.728164090459512,2240.7375464877196,71.01553899293194,10.31191062344067,7.728627584858678,-2.6131073653257055,2.8826568634020973,2.3137335405052095,12.925017988765987
1984-06-30,2169.8488191205315,62.92060703326919,3.2761578648354157,0.8848202829166923,2236.930404301553,67.08158518102131,6.504768437274111,7.440002227081422,-2.486295739581627,-0.9606869441407232,2.5117488939146497,8.991064176855351
1984-07-31,2169.891371118403,60.21408768638165,1.3570161979308086,0.03795592531891713,2231.500430928035,61.60905980963138,1.0747950637559192,4.733482880193889,-2.443743741709881,-1.8075513017384983,0.5926072270100422,3.518538805465434
1984-08-31,2169.898530083675,59.21638161413423,0.7004927597061875,0.0007801872097234196,2229.816184644725,59.91765456105014,-0.6094512195536842,3.7357768079464613,-2.436584776438258,-1.8447270398476923,-0.06391621121457883,1.8271335568841927
1984-09-30,2169.90635289678,58.323816574200194,0.5244044717309438,0.009616498269739083,2228.764190440981,58.85783754420087,-1.6614454232976104,2.84321176801242,-2.428761963332909,-1.8358907287876767,-0.24000449918982245,0.7673165400349233
1984-10-31,2169.923522589802,59.569965324283274,0.563005564604226,0.37598894207560335,2230.4324824207656,60.5089598309631,0.006846556486473512,4.089360518095502,-2.4115922703110564,-1.4695182849818123,-0.20140340631654025,2.4184388267971513
1984-11-30,2169.953339494785,59.94115548091788,0.715692113113888,0.8599759254294469,2231.4701630142463,61.51682351946121,1.0445271499673272,4.460550674730107,-2.3817753653283105,-0.9855313016279686,-0.04871685780687824,3.4263025152952618
1984-12-31,2169.9730699620213,60.01543791658106,0.683453247681025,2.56150354777525,2233.2334646740583,63.26039471203733,2.807828809779582,4.534833110393284,-2.3620448980921815,0.7159963207178346,-0.08095572323974133,5.16987370787138
1985-01-31,2169.9837547182615,60.45798893371824,0.706340300186683,4.454149744733181,2235.6022336969,65.6184789786381,5.176597832620919,4.977384127530465,-2.351360141851621,2.6086425176757655,-0.058068670734083276,7.527957974472149
1985-02-28,2169.9934726481656,60.511111385217,0.7087103132813019,5.689953956721924,2236.9032483033857,66.90977565522022,6.4776124391070224,5.030506579029224,-2.3416422119476357,3.844446729664509,-0.05569865763946454,8.819254651054269
1985-03-31,2170.000870771078,61.60745563304578,1.0763052849210395,5.53879661946934,2238.223428308514,68.22255753743617,7.797792444235421,6.126850826858013,-2.3342440890351717,3.6932893924119248,0.3118963140002733,10.132036533270215
1985-04-30,2170.0315584875166,63.22563772276116,2.190839996120975,4.29141808430162,2239.7394542907005,69.70789580318375,9.31381842642134,7.745032916573382,-2.303556372596836,2.445910857244204,1.4264310252002086,11.617374799017798
1985-05-31,2170.117458811514,63.892816240180764,2.666007763293477,2.115720082197431,2238.7920028971857,68.67454408567167,8.366367032907032,8.412211433992997,-2.217656048599068,0.27021285514001575,1.9015987923727102,10.584023081505727
